class_name,object_group,zone_id,detections,avg_confidence,avg_area_frame_ratio,potential_interaction_obs
chair,assento_mobiliario,zona_esquerda,70082,0.6048617845378895,0.010354719346287594,0
tv,tela_ou_computador,zona_central,25501,0.4836476713688924,0.01703908405746773,25501
chair,assento_mobiliario,zona_direita,6788,0.3942923604844947,0.006923365360943659,0
tv,tela_ou_computador,zona_esquerda,4011,0.36496844371338194,0.016124542385410702,4011
tv,tela_ou_computador,zona_direita,1717,0.3387437663803145,0.026895181243289962,1717
chair,assento_mobiliario,zona_central,1413,0.3228587847775124,0.007981731432189049,0
dining table,mesa_superficie,zona_esquerda,1268,0.3348891201079456,0.011914475047924618,0
frisbee,objeto_geral,zona_central,919,0.38114522408868334,0.0014922766010840344,0
sports ball,objeto_geral,zona_direita,584,0.3111931787778253,0.0027195589999225163,0
backpack,bolsa_mochila_bagagem,zona_direita,511,0.3977175001528865,0.004331770019224593,511
handbag,bolsa_mochila_bagagem,zona_central,365,0.3605502193921233,0.0045638756766075515,365
handbag,bolsa_mochila_bagagem,zona_direita,263,0.36602713581273766,0.0029304492552520304,263
backpack,bolsa_mochila_bagagem,zona_central,256,0.4034242630004883,0.005218430295792872,256
laptop,tela_ou_computador,zona_central,169,0.37856676451553256,0.011746907316400382,169
laptop,tela_ou_computador,zona_esquerda,124,0.33833559097782256,0.009212343455481725,124
laptop,tela_ou_computador,zona_direita,105,0.3553687686011905,0.002759774433425043,105
backpack,bolsa_mochila_bagagem,zona_esquerda,97,0.45882077561211343,0.0059211890169677955,97
handbag,bolsa_mochila_bagagem,zona_esquerda,81,0.4170976803626543,0.0036143198164520743,81
frisbee,objeto_geral,zona_esquerda,50,0.396953125,0.0033816296208374515,0
suitcase,bolsa_mochila_bagagem,zona_central,44,0.3792780095880682,0.011734328632638779,44
dog,animal,zona_esquerda,27,0.42329463252314814,0.017880879245801853,0
frisbee,objeto_geral,zona_direita,21,0.3772088913690476,0.0035546325765269567,0
surfboard,objeto_geral,zona_esquerda,18,0.3512098524305556,0.003947592923214017,0
skateboard,objeto_geral,zona_central,18,0.3528374565972222,0.007825933218871034,0
dog,animal,zona_direita,16,0.505523681640625,0.025671152654102553,0
suitcase,bolsa_mochila_bagagem,zona_direita,15,0.32278645833333336,0.01186771671028725,15
umbrella,objeto_pessoal,zona_central,15,0.4380696614583333,0.0034927222830597364,15
toilet,objeto_geral,zona_esquerda,15,0.48976236979166665,0.013814479102486397,0
dog,animal,zona_central,15,0.34638671875,0.013800939622296868,0
bear,animal,zona_central,15,0.30616861979166665,0.012806861975592727,0
skateboard,objeto_geral,zona_direita,14,0.35184151785714285,0.006558725399074233,0
tie,objeto_pessoal,zona_esquerda,12,0.3644816080729167,0.000575127090950155,12
bird,animal,zona_direita,12,0.51556396484375,0.029072849517208482,0
umbrella,objeto_pessoal,zona_direita,12,0.4709879557291667,0.024618624390897348,12
couch,assento_mobiliario,zona_esquerda,9,0.2979058159722222,0.059587743693819,0
bird,animal,zona_central,6,0.4806722005208333,0.022710235717317864,0
kite,objeto_geral,zona_direita,6,0.5281168619791666,0.02800531135600068,0
teddy bear,objeto_geral,zona_direita,6,0.34619140625,0.011990362180252609,0
cat,animal,zona_direita,6,0.3782552083333333,0.03249061845613444,0
banana,alimento_utensilio,zona_central,5,0.4201171875,0.005542712305202359,5
suitcase,bolsa_mochila_bagagem,zona_esquerda,5,0.351904296875,0.006043777246825306,5
cell phone,eletronico_interativo,zona_direita,5,0.41435546875,0.000786761222341536,5
toilet,objeto_geral,zona_direita,3,0.3361002604166667,0.013298231501270895,0
bus,veiculo,zona_central,3,0.3912760416666667,0.2974237034428062,0
umbrella,objeto_pessoal,zona_esquerda,3,0.4134114583333333,0.011231809535457883,3
baseball glove,objeto_geral,zona_esquerda,3,0.343505859375,0.002603682291993984,0
bottle,bebida_recipient,zona_direita,3,0.3518880208333333,0.0004850845535434524,3
snowboard,objeto_geral,zona_central,3,0.3614095052083333,0.021723172332752224,0
motorcycle,veiculo,zona_direita,3,0.3755696614583333,0.017216789209313802,0
sports ball,objeto_geral,zona_esquerda,2,0.466064453125,0.0007631169062184363,0
skateboard,objeto_geral,zona_esquerda,2,0.6591796875,0.011296956426170558,0
bird,animal,zona_esquerda,2,0.4326171875,0.020666580926940695,0
fire hydrant,objeto_geral,zona_central,2,0.515625,0.026002613448530006,0
cell phone,eletronico_interativo,zona_esquerda,2,0.3638916015625,0.0008607214618367228,2
fire hydrant,objeto_geral,zona_direita,2,0.39697265625,0.021267843617066927,0
cow,animal,zona_direita,1,0.350341796875,0.027244694543423976,0
toilet,objeto_geral,zona_central,1,0.46484375,0.026968943496968777,0
potted plant,objeto_geral,zona_direita,1,0.28466796875,0.017946743052565984,0
kite,objeto_geral,zona_central,1,0.291015625,0.03155340638185509,0
fire hydrant,objeto_geral,zona_esquerda,1,0.5849609375,0.029102233198427207,0
motorcycle,veiculo,zona_central,1,0.435791015625,0.020947041760118735,0
baseball bat,objeto_geral,zona_direita,1,0.529296875,0.0069503536845635,0
snowboard,objeto_geral,zona_direita,1,0.34326171875,0.02029470556281012,0
